Name,Hash,Size
text1,QmdytmR4wULMd3SLo6ePF4s3WcRHWcpnJZ7bHhoj3QB13v,10
text2,QmSFxnK675wQ9Kc1uqWKyJUaNxvSc2BP5DbXCD3x93oq61,10
text3,QmdQEnYhrhgFKPCq5eKc7xb1k7rKyb3fGMitUPKvFAscVK,10
text4,QmR56UJmAaZLXLdTT1ALrE9vVqV8soUEekm9BMd4FnuYqV,10
text3,QmdQEnYhrhgFKPCq5eKc7xb1k7rKyb3fGMitUPKvFAscVK,10
text4,QmR56UJmAaZLXLdTT1ALrE9vVqV8soUEekm9BMd4FnuYqV,10
test_dir1/text1,QmdytmR4wULMd3SLo6ePF4s3WcRHWcpnJZ7bHhoj3QB13v,10
test_dir1/text2,QmSFxnK675wQ9Kc1uqWKyJUaNxvSc2BP5DbXCD3x93oq61,10
test_dir1/client.py,QmYvF5zDUNGjwYQSWchFoX4DXs5BF4C9Sq5WEKX8gyTNXY,7671
test_dir1,QmQsxf811yi5Btzj1bdodGmATpNU3s18DHaWAygXRh5bjh,7841
kamal,QmbFMke1KXqnYyBBWxB74N4c5SBnJMVAiMNRcGu6x1AwQH,6
ipfs/clean.sh,QmRZt3hVA47HBdukvDzhiFBGZjT7b4b6c8BkeZhbtEo3HN,59
ipfs/private_network_kernel.sh,QmVP1SFf7bHEiXeZFrYzfoHcMeMnCy591HNniekqz5ubNA,1903
ipfs/.gitignore,QmPf58BHnjfkEJRwUGB875ZvJCajHMTntuQwNMHiV9LTyp,635
ipfs/client.py,QmUF7nvUtc7ZVSpPbYVKvfWeyttHsRqj1Yk46vU5gfBvt5,8359
ipfs/database.csv,QmaWPXAe8DFk6p8mGyWXhMX336fNoWrabXk4TP3Nq9rpdW,639
ipfs/README.md,QmPxC6HvMbxMAqr3vQmVxhaApVdyNQt1k9nmbpXzgWezXh,576
ipfs/.git/COMMIT_EDITMSG,QmcXaSomLwKDDnTNLbahoyAAcaAyF2PD9PLEeYZnVjKN78,21
ipfs/.git/index,QmVtacknSYokJXQR6CG4e1e2MSqaUKkSKwgzCe4djAo7kK,540
ipfs/.git/description,Qmdy135ZFG4kUALkaMhr6Cy3VhhkxyAh264kyg3725x8be,81
ipfs/.git/HEAD,QmWeKwYTKwBwVd7AKioXTmtpLFxTk3MBBk2ef2JtwCccAi,31
ipfs/.git/config,QmdVhbbL8f8iek8KkziBppBLLLisTXKWGpBFp3XLxW15gU,397
ipfs/.git/packed-refs,QmRaZbAsseev7f2gcfcXZUYAenHSCwrkxCekXd4Wn7Zfts,122
ipfs/.git/info/exclude,QmcfzxUpw36y8fu2GR3s7Vgq7RBgooKtc6BgsqFnadsDLc,251
ipfs/.git/logs/HEAD,QmX7v3bQFYKWprr4igxsKJywG5w4U46rxc2ZipovWdcryR,373
ipfs/.git/logs/refs/heads/master,QmX7v3bQFYKWprr4igxsKJywG5w4U46rxc2ZipovWdcryR,373
ipfs/.git/logs/refs/remotes/origin/master,QmQep91Eq15sb94wqHyCovrAq6e1pis7paXtrrMwnms71H,168
ipfs/.git/logs/refs/remotes/origin/HEAD,QmR6YcMgpVr1GWKmp4MyX4XprKX6KpP8GxNdEKSSQsGT6C,210
